id,time,body,translation,external_url,profile_type,description,name,attachment_urls
0007ed21-eb78-597d-9558-9dfa4f75ed3e,2024-03-31 18:19:25,"https://youtu.be/1H65fWYoaV8?si=sFwduH6AodNglBdIYouTubeОлесь Бузина vs Владимир Жириновский в ток-шоу «Поединок» Владимира Соловьева.Олесь Бузина vs Владимир Жириновский в ток-шоу «Поединок» Владимира Соловьева.
Актуальный разговор на общественно-политические темы.
Для сайта www.buz...","https://youtu.be/1H65fWYoaV8?si=sFwduH6AodNglBdIYouTubeOles Buzina vs Vladimir Zhirinovsky in the talk show “Duel” by Vladimir Solovyov. Oles Buzina vs Vladimir Zhirinovsky in the talk show “Duel” by Vladimir Solovyov.
Current conversation on socio-political topics.
For the site www.buz...",https://t.me/openukraine,telegram,A Telegram channel aggressively spreading Ukrainophobia and Russian nationalism.,OpenUkraine,media/telegram-web/157cfb52-f4b1-407c-ad3f-6a3c4c4a68a4.jpeg
0009a799-5b15-5468-98df-9e948518c786,2024-03-31 07:00:20,🇷🇺🇺🇦Последствия обстрела жилых домой Белгорода со стороны ВСУ.Подписаться на канал,🇷🇺🇺🇦The consequences of shelling of residential buildings in Belgorod by the Ukrainian Armed Forces. Subscribe to the channel,https://t.me/warhistoryalconafter,telegram,The Telegram channel of a Russian mil-blogger.,warhistoryalconafter,"media/telegram-web/0020f774-680c-4453-b17b-a5eec1382b38.jpeg,kirby/telegram-web/da62c659-85d8-4167-9a2b-40ab35414071.jpeg,kirby/telegram-web/d78460df-a0f4-4057-aa0b-9a827b387566.jpeg,kirby/telegram-web/b24f5edd-77fb-4069-b7eb-3aeb6eadf9c0.jpeg"
000fea05-105e-589a-ad1e-9901e6594e86,2024-03-31 09:04:00,"""ТАРЕЛОЧКИ"" У НАС.
Дорогие подписчики! Делимся ещё одной радостной новостью: долгожданные безумно дорогие тарелочки у нас! С Москвы пришли очень быстро. Распаковываем и смотрим очень бережно, так как они очень хрупкие на вид.
Show more
Мы очень рады, что наша группа вышла на новый уровень помощи парням. Это особый вектор доверия к группе.
🫡Пусть задачи, поставленные для наших парней благодаря этому ""невиданному прибору"", будут выполняться легче и эффективнее.
Спасибо каждому, кто участвовал в сборе и помог невозможное сделать реальностью.
ПОБЕДА ОБЯЗАТЕЛЬНО БУДЕТ ЗА НАМИ!
Карта группы: УБРиР (Уральский банк реконструкции и развития) 4301 8039 5309 7164 на Игоря Павловича Г.
Номер СБП к счету УБРиР 89000913508
Телефон для общих вопросов: 88007001779
с 8.00-19.00","WE HAVE ""PLATES"".
Dear subscribers! We share another good news: we have the long-awaited, insanely expensive plates! They arrived from Moscow very quickly. We unpack and look very carefully, as they are very fragile in appearance.
Show more
We are very glad that our group has reached a new level of helping guys. This is a special vector of trust in the group.
🫡Let the tasks set for our guys thanks to this “unprecedented device” be completed easier and more efficiently.
Thanks to everyone who participated in the collection and helped make the impossible a reality.
VICTORY WILL DEFINITELY BE OURS!
Group card: UBRD (Ural Bank for Reconstruction and Development) 4301 8039 5309 7164 to Igor Pavlovich G.
SBP number for UBRD account 89000913508
Phone number for general questions: 88007001779
from 8.00-19.00",https://vk.com/public216233091,vk,Russian volunteer support group for war efforts in Ukraine.,"Assistance to the Military at the Northern Military District ""Together"" Kopeisk Southern Ural",media/vk/40a8eec7-913a-4bed-9ce7-d59ee5d02093.jpeg
0012d254-46b1-5d52-ad6e-b6a8bf7b8fc7,2024-03-31 06:22:18,"На Камчатке в соединении кораблей охраны водного района ТОФ проведена тренировка по отражению нападения условных диверсантов.

По сценарию учения условные диверсанты проникли на территорию штаба соединения с целью устроить диверсию и нарушить работу системы коммуникаций.

После получения сигнала о нападении неизвестных вооруженных лиц на контрольно-пропускной пункт соединения, военнослужащие подразделения антитеррора оперативно отреагировали и приступили к отработке алгоритма действий по отражению атаки и блокированию диверсантов.

Тренировка проводилась в условиях, максимально приближенных к реальной обстановке, также активно применялись средства имитации.

В мероприятии приняли участие более 20 военнослужащих и 3 единицы военной техники.

Пресс-служба Восточного военного округа#камчатка#диверсанты#пдсс#тренировка#боеваяподготовка","In Kamchatka, a formation of ships guarding the water area of the Pacific Fleet conducted training to repel an attack by conditional saboteurs.

According to the exercise scenario, conditional saboteurs entered the territory of the formation headquarters with the aim of causing sabotage and disrupting the operation of the communications system.

After receiving a signal about an attack by unknown armed persons on the checkpoint of the connection, military personnel of the anti-terrorism unit quickly responded and began working out an algorithm of actions to repel the attack and block the saboteurs.

The training was carried out in conditions as close as possible to the real situation, and simulation tools were also actively used.

More than 20 military personnel and 3 units of military equipment took part in the event.

Press service of the Eastern Military District#Kamchatka#saboteurs#PDSS#training#combat training",https://t.me/navyofrussia,telegram,A Telegram channel affiliated with the Russian Navy.,NavyOfRussia,media/telegram-web/b108cbdf-83ef-4a9f-8027-a39d4d16accf.jpeg
00194b54-be02-5a6d-a961-b9be56f22a54,2024-03-31 17:36:03,"Как устраняли предателя КузьминоваТрусливого перебежчика, который угнал вертолет на территорию Украины и погубил свой экипаж, напомню, нашла смерть в Испании, в муниципалитете Вильяхойоса. Как это было, рассказывает Нью Йорк Таймз.

«Двое нападавших вышли из машины, окликнули его и открыли огонь. Несмотря на то, что в него попали шесть пуль, большинство из которых попали в торс, Кузьминову удалось пробежать небольшое расстояние, прежде чем он рухнул на пандус. Убийцы вернулись в машину и, выезжая, переехали тело Кузьминова.

Двое убийц в капюшонах, которые появились на записи камеры наблюдения, установленной на парковке жилого комплекса Кузьминова, были явно профессионалами, которые выполнили свою миссию и быстро исчезли».

Предатель, получив паспорт на имя гражданина Украины Игоря Шевченко, думал, что поймал удачу за бороду. И даже не пытался тихо скромничать, чтобы лишний раз не отсвечивать. По Вильяхойосе перебежчик передвигался на чёрном Mercedes S-класса и был завсегдатаем местных кабаков.

Но возмездие оказалось неотвратимым. Все вырусям из фирмы-прокладки РДК на заметку.

Александр Коц","How the traitor Kuzminov was eliminated. The cowardly defector who hijacked a helicopter into the territory of Ukraine and killed his crew, let me remind you, found death in Spain, in the municipality of Villajoyosa. The New York Times tells how it happened.

“Two attackers got out of the car, called out to him and opened fire. Despite being hit by six bullets, most of which struck his torso, Kuzminov managed to run a short distance before collapsing onto a ramp. The killers returned to the car and, as they drove out, ran over Kuzminov’s body.

The two hooded killers who appeared on the surveillance camera footage installed in the parking lot of Kuzminov’s residential complex were clearly professionals who completed their mission and quickly disappeared.”

The traitor, having received a passport in the name of Ukrainian citizen Igor Shevchenko, thought that he had caught his luck by the beard. And he didn’t even try to be quietly modest, so as not to shine once again. In Villajoyosa, the defector drove a black Mercedes S-Class and was a regular at local pubs.

But retribution turned out to be inevitable. Take note to all the Russians from the gasket company RDK.

Alexander Kots",https://t.me/swodki,telegram,A generic Telegram account that echoes Kremlin talking points and spreads anti-Western and Russian nationalist rhetoric.,swodki,media/telegram-web/77af5086-db38-470b-9880-0ee347080073.jpeg
00257bf8-04dc-57ab-83b9-1ba53c8eca64,2024-03-31 11:00:00,"Расчеты «Гиацинт-Б» уничтожают противника в приграничном с Белгородской областью районе на территории Украины
Расчеты 152-мм буксируемых пушек «Гиацинт-Б» группировки войск «Запад», действуя в составе разведывательно-ударных контуров, наносят огневое поражение по живой силе и скоплению военной техники
Show more
украинских террористических формирований.
Целеуказание и корректировка огня артиллерийских расчетов ведется с использованием комплексов беспилотных летательных аппаратов.
На видео расчеты пушек «Гиацинт-Б» поражают минометные расчеты противника.
#ЗаНамиПравда #СвоихНеБросаем","Giatsint-B crews destroy the enemy in the area bordering the Belgorod region on the territory of Ukraine
Crews of 152-mm towed ""Gyacinth-B"" guns of the ""West"" group of forces, operating as part of reconnaissance and strike contours, inflict fire damage on manpower and accumulation of military equipment
Show more
Ukrainian terrorist groups.
Target designation and fire adjustment of artillery crews is carried out using unmanned aerial vehicle systems.
In the video, crews of Giatsint-B cannons hit enemy mortar crews.
#BehindUsTruth #WeDon’t Abandon Our Own",https://vk.com/public34750437,vk,A Kremlin-aligned VK channel.,Justice for us!,media/vk/12f10770-0d82-4610-b4d5-799ddb453283.mp4
0039acd5-9b94-57dd-aac4-e029f0273481,2024-03-31 08:47:06,"В ВСУ знают приблизительный состав и число войск РФ на территории аннексированного Крыма, заявила пресс-секретарь Сил обороны юга Украины Наталья Гуменюк

Кроме того, Силы обороны Украины располагают информацией о численном и качественном составе российской группировки «Днепр», действующей на Херсонском и Запорожском направлении. 

По словам Гуменюк, на данный момент у российских войск усложнена логистика из Крыма на материковую часть Украины из-за огневого контроля ВСУ.«Россияне вынуждены подтягивать некоторые ресурсы из Крыма, но у них все же очень усложнена логистика. Очень часто раздаются запреты использования понятных логистических маршрутов», – рассказала Гуменюк.Гуменюк также сообщила, что российские войска перебросили на территорию Крыма танковый батальон. По ее словам, это может свидетельствовать о серьезных потерях армии РФ на левом берегу Херсонщины. Оперативно проверить слова Гуменюк с помощью альтернативных источников в условиях войны пока не представляется возможным.","The Ukrainian Armed Forces know the approximate composition and number of Russian troops on the territory of the annexed Crimea, said Natalya Gumenyuk, spokeswoman for the Defense Forces of southern Ukraine.

In addition, the Ukrainian Defense Forces have information about the numerical and qualitative composition of the Russian Dnepr group operating in the Kherson and Zaporozhye directions.

According to Gumenyuk, at the moment the Russian troops have complicated logistics from Crimea to the mainland of Ukraine due to the fire control of the Ukrainian Armed Forces. “The Russians are forced to pull up some resources from Crimea, but their logistics are still very complicated. Very often there are bans on the use of clear logistics routes,” said Gumenyuk. Gumenyuk also reported that Russian troops have deployed a tank battalion to the territory of Crimea. According to her, this may indicate serious losses of the Russian army on the left bank of the Kherson region. It is not yet possible to quickly verify Gumenyuk’s words using alternative sources in war conditions.",https://t.me/krymrealii,telegram,"The Telegram channel of Crimean news outlet, Crimea.Realities. It is a news outlet of RFE/RL's Ukrainian Service.",krymrealii,media/telegram-web/54476e36-8a88-455f-b53c-f4954d880a7f.jpeg
003d9351-c8d2-5c72-9949-e6187e0d33ed,2024-03-31 14:51:50,"Как устраняли предателя КузьминоваТрусливого перебежчика, который угнал вертолет на территорию Украины и погубил свой экипаж, напомню, нашла смерть в Испании, в муниципалитете Вильяхойоса. Как это было, рассказывает Нью Йорк Таймз.

«Двое нападавших вышли из машины, окликнули его и открыли огонь. Несмотря на то, что в него попали шесть пуль, большинство из которых попали в торс, Кузьминову удалось пробежать небольшое расстояние, прежде чем он рухнул на пандус. Убийцы вернулись в машину и, выезжая, переехали тело Кузьминова.

Двое убийц в капюшонах, которые появились на записи камеры наблюдения, установленной на парковке жилого комплекса Кузьминова, были явно профессионалами, которые выполнили свою миссию и быстро исчезли».

Предатель, получив паспорт на имя гражданина Украины Игоря Шевченко, думал, что поймал удачу за бороду. И даже не пытался тихо скромничать, чтобы лишний раз не отсвечивать. По Вильяхойосе перебежчик передвигался на чёрном Mercedes S-класса и был завсегдатаем местных кабаков.

Но возмездие оказалось неотвратимым. Все вырусям из фирмы-прокладки РДК на заметку.@sashakots","How the traitor Kuzminov was eliminated. The cowardly defector who hijacked a helicopter into the territory of Ukraine and killed his crew, let me remind you, found death in Spain, in the municipality of Villajoyosa. The New York Times tells how it happened.

“Two attackers got out of the car, called out to him and opened fire. Despite being hit by six bullets, most of which struck his torso, Kuzminov managed to run a short distance before collapsing onto a ramp. The killers returned to the car and, as they drove out, ran over Kuzminov’s body.

The two hooded killers who appeared on the surveillance camera footage installed in the parking lot of Kuzminov’s residential complex were clearly professionals who completed their mission and quickly disappeared.”

The traitor, having received a passport in the name of Ukrainian citizen Igor Shevchenko, thought that he had caught his luck by the beard. And he didn’t even try to be quietly modest, so as not to shine once again. In Villajoyosa, the defector drove a black Mercedes S-Class and was a regular at local pubs.

But retribution turned out to be inevitable. Note to all the Russians from the RDK gasket company. @sashakots",https://t.me/sashakots,telegram,"The Telegram account of Alexander Kots, a militant propagandist and war correspondent for the rabidly Kremlin-aligned Komsomolskaya pravda. His reporting during the Russian-Ukrainian war occasionally gave away Russian positions, resulting in swift Ukrainian strikes against them.",sashakots,media/telegram-web/f26ffda2-60a0-4a23-ba43-1d930fa83d71.jpeg
003dd520-3542-598f-a597-0f225128b93f,2024-03-31 09:01:01,"🇺🇦""80+ samples of Ukrainian-made weapons have been received by Armed Forces of Ukraine since the beginning of 2024"", — Deputy Minister of Defense Ivan Havryliuk❗️The largest group is ammunition of various types and calibers + many UAVs, EW devices and robotic complexes.🦅There are also completely new drones: both FPV-kamikaze and multi-use short-range and long-range impact drones.",,https://t.me/maks23_nafo,telegram,Ukrainian Telegram channel posting flash news,MAKS23_NAFO,media/telegram-web/99fedef3-33ad-4d24-ba46-6e7809f9f8d0.jpeg
004ad884-1b49-512e-b549-099728f41ee8,2024-03-31 23:09:44,🇷🇺🇺🇦Танки отработали по пехоте противника в одной из посадок на Авдеевском направленииПодписаться на канал,🇷🇺🇺🇦Tanks worked against enemy infantry in one of the landings in the Avdeevsky directionSubscribe to the channel,https://t.me/warhistoryalconafter,telegram,The Telegram channel of a Russian mil-blogger.,warhistoryalconafter,"media/telegram-web/1446dac3-8d9b-4cdb-952c-9da00d86aceb.jpeg,kirby/telegram-web/10e7624d-5784-4b22-a13a-cbeb61086d2e.mp4"
